Last login: Mon May  6 19:31:25 on ttys002
 1334 ??         0:00.02 /usr/libexec/keybagd -t 15
 1366 ??         0:00.29 /System/Library/Frameworks/Metal.framework/Versions/A/
 1384 ??         0:01.77 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.
 1413 ??         0:02.00 /System/Library/PrivateFrameworks/ContextKit.framework
 1454 ??         0:02.22 /usr/libexec/avconferenced
 1455 ??         0:01.35 /System/Library/PrivateFrameworks/IMFoundation.framewo
 1466 ??         0:00.49 /System/Library/PrivateFrameworks/CoreAccessories.fram
 1482 ??         0:01.41 /System/Library/PrivateFrameworks/CoreRecents.framewor
 1484 ??         0:00.57 /System/Library/PrivateFrameworks/CoreSuggestions.fram
 1511 ??         1:03.33 /System/Library/Input Methods/VietnameseIM.app/Content
 1525 ??         0:00.60 /System/Library/PrivateFrameworks/CharacterPicker.fram
 1601 ??         0:00.70 /System/Library/PrivateFrameworks/ContactsDonation.fra
 1627 ??         0:00.08 /System/Library/Frameworks/ApplicationServices.framewo
 1817 ??         0:26.20 /System/Library/Frameworks/Metal.framework/Versions/A/
 1839 ??         0:01.01 /usr/sbin/cfprefsd agent
 1840 ??         0:00.51 /usr/sbin/distnoted agent
 1842 ??         0:00.24 /System/Library/CoreServices/Software Update.app/Conte
 1870 ??         0:00.09 /System/Library/PrivateFrameworks/CommerceKit.framewor
 1878 ??         0:00.20 /System/Library/PrivateFrameworks/CommerceKit.framewor
 1970 ??         0:00.03 /usr/libexec/periodic-wrapper daily
 1971 ??         0:01.49 /System/Library/CoreServices/mapspushd
 2039 ??         0:00.17 /System/Library/PrivateFrameworks/UsageTracking.framew
 2040 ??         0:00.15 /usr/libexec/silhouette
 2043 ??         0:00.01 /usr/libexec/periodic-wrapper weekly
 2069 ??         0:00.09 /System/Library/Frameworks/CoreServices.framework/Fram
 2070 ??         0:00.09 /System/Library/Frameworks/CoreServices.framework/Fram
 2093 ??         0:00.84 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.
 2111 ??         0:00.14 /System/Library/PrivateFrameworks/AssistantServices.fr
 2476 ??         0:00.03 /System/Library/CoreServices/ReportCrash daemon
 2576 ??         0:00.23 /usr/libexec/warmd_agent
 2577 ??         0:02.59 /usr/libexec/warmd
 2615 ??         0:01.53 /System/Library/Frameworks/Metal.framework/Versions/A/
 2722 ??        24:47.20 /Applications/Safari.app/Contents/MacOS/Safari
 2724 ??        13:03.14 /System/Library/Frameworks/WebKit.framework/Versions/A
 2729 ??         0:08.69 /System/Library/PrivateFrameworks/SafariShared.framewo
 2733 ??         0:00.21 /System/Library/PrivateFrameworks/SafariShared.framewo
 2954 ??         0:03.85 /System/iOSSupport/System/Library/PrivateFrameworks/Vo
 2994 ??         0:00.72 /usr/libexec/assertiond
 3127 ??         0:01.22 /System/Library/PrivateFrameworks/AssetCacheServices.f
 3231 ??         0:01.64 /usr/libexec/rtcreportingd
 3459 ??         0:08.25 /System/Library/Frameworks/AppKit.framework/Versions/C
 3463 ??         0:00.31 /System/Library/Frameworks/Metal.framework/Versions/A/
 3589 ??         0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/
 3590 ??         0:00.25 /System/Library/Frameworks/CoreServices.framework/Vers
 3969 ??         0:01.73 /System/Library/CoreServices/UIKitSystem.app/Contents/
 4091 ??         0:02.08 /Applications/Books.app/Contents/PlugIns/DiskSpaceEffi
 4819 ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCS
 4910 ??         0:00.28 /System/Library/PrivateFrameworks/DistributedEvaluatio
 4926 ??         0:00.90 /usr/libexec/nesessionmanager
 4933 ??         0:00.08 /usr/libexec/neagent
 4938 ??         0:00.13 /usr/libexec/videosubscriptionsd
 4960 ??         0:00.08 /Applications/Betternet VPN.app/Contents/PlugIns/HexaT
 5352 ??         0:00.80 /System/Library/PrivateFrameworks/MobileDevice.framewo
 5382 ??         0:02.85 /System/Library/Frameworks/WebKit.framework/Versions/A
 5708 ??         0:12.12 /System/Library/PrivateFrameworks/DiskImages.framework
 5721 ??         0:00.05 /System/Library/PrivateFrameworks/DiskImages.framework
 5745 ??         0:00.09 /System/Library/Frameworks/Metal.framework/Versions/A/
 5900 ??         0:00.79 /System/Library/Frameworks/ApplicationServices.framewo
 5901 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCS
 6124 ??         0:02.14 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.a
 6125 ??         0:03.09 /System/Library/PrivateFrameworks/MobileDevice.framewo
 6343 ??         0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/
 6427 ??         0:02.41 /System/Library/Frameworks/WebKit.framework/Versions/A
 6479 ??         0:04.55 /System/Library/PrivateFrameworks/Lookup.framework/Ver
 6482 ??         0:00.12 /System/Library/Frameworks/Metal.framework/Versions/A/
 6908 ??         0:00.02 /usr/sbin/aslmanager -s /var/log/eventmonitor
 7303 ??         4:51.35 /Applications/Evernote.app/Contents/MacOS/Evernote
 7304 ??         0:03.07 /Applications/Evernote.app/Contents/Library/LoginItems
 7932 ??         0:00.16 /System/Library/PrivateFrameworks/ProtectedCloudStorag
 8352 ??         0:00.84 /Applications/Safari.app/Contents/XPCServices/com.appl
 8473 ??        10:28.78 /Applications/Google Chrome.app/Contents/MacOS/Google 
 8476 ??         0:00.73 /usr/libexec/gamecontrollerd
 8478 ??         0:00.03 /Applications/Google Chrome.app/Contents/Versions/73.0
 8480 ??        20:41.18 /Applications/Google Chrome.app/Contents/Versions/73.0
 8482 ??         5:36.65 /Applications/Google Chrome.app/Contents/Versions/73.0
 8484 ??         0:00.04 /Applications/Google Chrome.app/Contents/Versions/73.0
 8485 ??         0:00.26 /System/Library/Frameworks/VideoToolbox.framework/Vers
 8490 ??         0:01.17 /Applications/Google Chrome.app/Contents/Versions/73.0
 8493 ??         0:00.83 /Applications/Google Chrome.app/Contents/Versions/73.0
 8494 ??         0:01.37 /Applications/Google Chrome.app/Contents/Versions/73.0
 8495 ??         0:02.70 /Applications/Google Chrome.app/Contents/Versions/73.0
 8870 ??         0:36.56 /Applications/Mail.app/Contents/MacOS/Mail
 8879 ??         0:00.95 /System/Library/Frameworks/WebKit.framework/Versions/A
 8884 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCS
 8969 ??         0:00.26 /Applications/Google Chrome.app/Contents/Versions/73.0
 9076 ??         0:09.63 /System/Library/Frameworks/CoreServices.framework/Fram
 9080 ??         0:10.12 /System/Library/Frameworks/CoreServices.framework/Fram
 9082 ??         0:09.26 /System/Library/Frameworks/CoreServices.framework/Fram
 9083 ??         0:09.32 /System/Library/Frameworks/CoreServices.framework/Fram
 9118 ??         0:00.03 /usr/libexec/DataDetectorsSourceAccess
 9181 ??         0:01.40 /System/Library/Frameworks/CoreServices.framework/Fram
 9215 ??         0:00.09 /System/Library/Frameworks/CoreServices.framework/Fram
 9227 ??         0:10.12 /Applications/Preview.app/Contents/MacOS/Preview -psn_
 9248 ??         0:01.31 /System/Library/Frameworks/CoreServices.framework/Fram
 9305 ??         0:01.87 /System/Library/Frameworks/CoreServices.framework/Fram
 9394 ??         0:06.76 /Applications/Utilities/Terminal.app/Contents/MacOS/Te
 9492 ??         0:00.09 /System/Library/Frameworks/Metal.framework/Versions/A/
 9517 ??         0:00.17 /System/Library/Frameworks/CoreServices.framework/Fram
 9524 ??         0:01.00 /System/Library/CoreServices/CoreServicesUIAgent.app/C
 9532 ??         0:00.06 /System/Library/PrivateFrameworks/XprotectFramework.fr
 9533 ??         0:00.12 /System/Library/Frameworks/CoreServices.framework/Fram
 9534 ??         0:00.11 /System/Library/Frameworks/CoreServices.framework/Fram
 9626 ??         0:00.04 /usr/sbin/ocspd
 9636 ??         0:00.72 /System/Library/PrivateFrameworks/SyncedDefaults.frame
 9637 ??         0:00.13 /System/Library/PrivateFrameworks/AOSKit.framework/Ver
 9641 ??         0:01.56 /usr/libexec/PerfPowerServices
 9733 ??         0:00.14 /System/Library/Frameworks/CoreServices.framework/Fram
 9734 ??         0:00.13 /System/Library/Frameworks/CoreServices.framework/Fram
 9735 ??         0:00.14 /System/Library/Frameworks/CoreServices.framework/Fram
